timestamp,memory_used_mib,memory_free_mib,utilization_pct
1788888719.800382060,0, 22564, 0
1788888721.836259014,0, 22564, 0
1788888723.880496685,3, 22561, 0
1788888725.921162825,3, 22561, 0
1788888727.963297884,3, 22561, 0
1788888730.002722995,3, 22561, 0
1788888732.043303466,1416, 21148, 0
1788888734.081458039,1888, 20676, 0
1788888736.123626066,5246, 17318, 61
1788888738.171155625,13710, 8854, 48
1788888740.215520288,20254, 2310, 62
1788888742.248801245,20292, 2272, 37
1788888744.285171540,20356, 2208, 87
1788888746.326082155,20408, 2156, 0
1788888748.365474299,21964, 600, 100
1788888750.406138148,20940, 1624, 99
1788888752.452504997,20944, 1620, 44
1788888754.494156197,20946, 1618, 99
1788888756.543038315,20946, 1618, 42
1788888758.586080565,20946, 1618, 80
1788888760.625483532,20948, 1616, 50
1788888762.665273275,20964, 1600, 33
1788888764.704485317,20966, 1598, 42
1788888766.743236598,20968, 1596, 99
1788888768.784198629,20972, 1592, 22
1788888770.826279408,20972, 1592, 26
1788888772.868382229,20972, 1592, 36
1788888774.912956646,20972, 1592, 3
1788888776.954190216,20972, 1592, 50
1788888778.999417722,22545, 19, 100
1788888781.054479711,21542, 1022, 100
1788888783.098145128,21880, 684, 100
1788888785.145926120,21882, 682, 50
1788888787.189387781,21886, 678, 5
1788888789.233344553,21890, 674, 100
1788888791.275842462,21890, 674, 0
1788888793.323395217,22064, 500, 100
1788888795.370872981,22066, 498, 99
1788888797.416487181,22072, 492, 61
1788888799.473660945,22072, 492, 53
1788888801.525200353,22072, 492, 89
1788888803.562818931,22072, 492, 100
1788888805.611390023,22072, 492, 33
1788888807.649914872,22072, 492, 17
1788888809.690650332,22078, 486, 24
1788888811.732293413,22078, 486, 99
1788888813.777953264,22078, 486, 100
1788888815.819773704,22078, 486, 80
1788888817.868654530,22082, 482, 69
1788888819.910735963,22136, 428, 79
1788888821.952242134,22136, 428, 99
1788888824.001295602,22136, 428, 62
1788888826.047649454,22136, 428, 88
1788888828.090241628,22150, 414, 0
1788888830.130266680,22280, 284, 54
1788888832.173658287,22280, 284, 69
1788888834.216716206,22280, 284, 100
1788888836.257561013,22280, 284, 0
1788888838.296471690,22280, 284, 74
1788888840.341547815,22280, 284, 58
1788888842.384208095,22282, 282, 100
1788888844.429188737,22300, 264, 50
1788888846.472677681,22388, 176, 100
1788888848.522524609,18478, 4086, 100
1788888850.562646662,20966, 1598, 64
1788888852.595229715,20966, 1598, 98
1788888854.637453422,20966, 1598, 43
1788888856.690601645,20966, 1598, 98
1788888858.746591639,20966, 1598, 40
1788888860.791744060,20966, 1598, 80
1788888862.837292569,20966, 1598, 100
1788888864.885839697,20966, 1598, 53
1788888866.929244766,20966, 1598, 68
1788888868.966550456,20966, 1598, 76
1788888871.011149168,20966, 1598, 40
1788888873.057453503,21520, 1044, 65
1788888875.097399549,21520, 1044, 64
1788888877.138372154,21522, 1042, 58
1788888879.180207218,21524, 1040, 62
1788888881.243150570,22466, 98, 99
1788888883.299523388,22466, 98, 25
1788888885.349932532,22466, 98, 76
1788888887.385845255,22468, 96, 100
1788888889.428346538,22468, 96, 55
1788888891.471294276,22468, 96, 93
1788888893.517715727,21740, 824, 66
1788888895.560329464,21742, 822, 65
1788888897.604525201,22182, 382, 55
1788888899.652912168,22184, 380, 63
1788888901.694947677,11956, 10608, 99
1788888903.732829358,11956, 10608, 0
1788888905.774998338,12940, 9624, 0
1788888907.814313514,6433, 16132, 11
1788888909.845664661,6433, 16132, 28
1788888911.878048470,6433, 16132, 27
1788888913.909775319,6433, 16132, 30
1788888915.940520091,6433, 16132, 28
1788888917.973658276,6433, 16132, 30
1788888920.005831027,6433, 16132, 0
1788888922.037449836,6433, 16132, 10
1788888924.068817996,6433, 16132, 11
1788888926.099978555,6433, 16132, 12
1788888928.131715661,6433, 16132, 89
1788888930.163884236,6433, 16132, 3
1788888932.194586303,6433, 16132, 0
